section,hand,2,3,4,5,6,7,8,9,10,A
hard,20,S,S,S,S,S,S,S,S,S,S
hard,19,S,S,S,S,S,S,S,S,S,S
hard,18,S,S,S,S,S,S,S,S,S,S
hard,17,S,S,S,S,S,S,S,S,S,S
hard,16,S,S,S,S,S,H,H,H,H,H
hard,15,S,S,S,S,S,H,H,H,H,H
hard,14,S,S,S,S,S,H,H,H,H,H
hard,13,S,S,S,S,S,H,H,H,H,H
hard,12,H,H,S,S,S,H,H,H,H,H
hard,11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh
hard,10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
hard,9,H,Dh,Dh,Dh,Dh,H,H,H,H,H
hard,8,H,H,H,H,H,H,H,H,H,H
hard,7,H,H,H,H,H,H,H,H,H,H
hard,6,H,H,H,H,H,H,H,H,H,H
hard,5,H,H,H,H,H,H,H,H,H,H

pair,"A,A",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
pair,"10,10",N,N,N,N,N,N,N,N,N,N
pair,"9,9",Y,Y,Y,Y,Y,N,Y,Y,N,N
pair,"8,8",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
pair,"7,7",Y,Y,Y,Y,Y,Y,N,N,N,N
pair,"6,6",Y,Y,Y,Y,Y,N,N,N,N,N
pair,"5,5",N,N,N,N,N,N,N,N,N,N
pair,"4,4",N,N,N,Y,Y,N,N,N,N,N
pair,"3,3",Y,Y,Y,Y,Y,Y,N,N,N,N
pair,"2,2",Y,Y,Y,Y,Y,Y,N,N,N,N

soft,"A,9",S,S,S,S,S,S,S,S,S,S
soft,"A,8",S,S,S,S,S,S,S,S,S,S
soft,"A,7",S,S,S,S,S,S,S,H,H,H
soft,"A,6",H,H,H,H,H,H,H,H,H,H
soft,"A,5",H,H,H,H,H,H,H,H,H,H
soft,"A,4",H,H,H,H,H,H,H,H,H,H
soft,"A,3",H,H,H,H,H,H,H,H,H,H
soft,"A,2",H,H,H,H,H,H,H,H,H,H
